Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
AFLU3,"5,15","9,15","2,19","2,981","0,00%","1,919","9,86","8,52","12,21","7,57","7,24","34,98%","32,59%","3,27","31,18%","23,93%","0,00","44.270.000,00","0,00","8,61%"
BTTL3,"9,80","9,16","5,60","0,321","0,00%","0,939","14,95","6,43","-2,34","7,82","5,84","4,99%","3,50%","1,17","17,35%","61,18%","12.370,50","25.984.000,00","1,76","28,26%"
LUPA3,"7,12","9,23","1,36","3,481","0,00%","0,386","1,59","-8,15","-1,22","-12,67","-17,46","-42,72%","37,70%","2,55","-5,07%","14,68%","22.702.100,00","140.200.000,00","0,90","-26,63%"
CRPG5,"58,99","9,28","2,35","2,340","1,50%","1,610","2,54","13,77","3,45","10,61","8,95","16,99%","25,21%","5,27","19,63%","25,34%","935.213,00","727.710.000,00","0,01","8,96%"
CEPE6,"27,00","9,28","1,18","0,294","14,19%","0,176","18,15","2,86","-0,29","9,57","6,75","10,27%","3,16%","1,04","7,15%","12,75%","5.516,80","1.702.000.000,00","3,21","-45,20%"
CRPG3,"59,99","9,44","2,39","2,380","0,00%","1,637","2,58","14,01","3,51","10,84","9,14","16,99%","25,21%","5,27","19,63%","25,34%","3.851,85","727.710.000,00","0,01","8,96%"
MRSL4,"3,05","9,48","0,91","0,816","0,00%","0,609","2,19","15,08","5,80","16,51","8,83","5,41%","8,69%","2,78","4,44%","9,63%","0,00","375.151.000,00","0,16","7,10%"
CALI4,"50,00","9,57","5,63","0,619","0,00%","0,149","0,49","-7,64","-0,31","-17,56","-19,73","-8,10%","6,47%","2,56","-2,40%","58,84%","0,00","3.302.000,00","10,39","-8,47%"
CPFE3,"30,48","9,64","2,52","1,137","5,91%","0,715","-59,11","6,79","-1,67","9,32","7,35","16,74%","12,00%","0,96","13,13%","26,14%","83.389.200,00","13.935.800.000,00","1,35","11,33%"
CEEB5,"45,00","9,68","1,93","1,045","0,00%","0,564","17,63","6,03","-1,11","9,79","7,57","17,32%","10,80%","1,19","10,20%","19,95%","0,00","6.109.000.000,00","1,28","12,25%"
BRGE7,"5,40","9,68","0,32","15,508","7,86%","0,131","0,31","-0,99","0,65","2,91","2,92","-1.572,46%","248,85%","3,39","-27,52%","3,33%","0,00","1.234.610.000,00","0,00","-2,20%"
